"JLCPCB BOM Tool - BOM Matching","","","","","","","","","","","","","","","","",""
"BOM name：production_bom-JLCPCB Assembly Order.xlsx","","","Download Time：2026-06-12 11:30:08","","","","* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.","","","","","","","","","",""
"PCB Assembled Qty：5","","","Est. Total Price：69.0311","","","","","","","","","","","","","",""
"Your BOM","","","","","Matched Parts","","","","","","","Order Information","","","","",""
"Top Designator","Bottom Designator","Comment","Footprint","JLCPCB Part #","Matches","Part # ","Manufacturer","Footprint","Description","Category","Warning","JLCPCB Part #","Product link","Lib Type","Qty","Source","Total Price ($)"
"R10,R11,R12,R13,R14,R18,R19,R20,R21,R22,R4,R7,R8,R9","","10K","0402","","Unconfirmed","0402WGF1002TCE","UNI-ROYAL(Uniroyal Elec)","0402","-55℃~+155℃ 10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (0402WGF1002TCE) of this part does not match the one (10K) provided in your BOM. Please confirm;","C25744","https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744","Basic","38","38 JLCPCB","0.1064"
"R15,R16","","100K","0402","","Unconfirmed","0402WGF1003TCE","UNI-ROYAL(Uniroyal Elec)","0402","-55℃~+155℃ 100kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (0402WGF1003TCE) of this part does not match the one (100K) provided in your BOM. Please confirm;","C25741","https://jlcpcb.com/partdetail/26484-0402WGF1003TCE/C25741","Basic","20","20 JLCPCB","0.02"
"R17","","22.1K","0402","","Unconfirmed","0402WGF2212TCE","UNI-ROYAL(Uniroyal Elec)","0402","-55℃~+155℃ 22.1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (0402WGF2212TCE) of this part does not match the one (22.1K) provided in your BOM. Please confirm;","C43473","https://jlcpcb.com/partdetail/44464-0402WGF2212TCE/C43473","Extended","20","20 JLCPCB","0.016"
"R23,R24,R25","","39","0402","","Unconfirmed","RCT0239RJLF","HKR(Hong Kong Resistors)","0402","-55℃~+155℃ 39Ω 50V 62.5mW Thick Film Resistor ±200ppm/℃ ±5% 0402 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (RCT0239RJLF) of this part does not match the one (39) provided in your BOM. Please confirm;","C174212","https://jlcpcb.com/partdetail/HKR_Hong_Kong_Resistors-RCT0239RJLF/C174212","Extended","20","20 JLCPCB","0.016"
"SW1,SW2,SW3,SW4","","TS-1088-AR02016","SW-SMD_L3.9-W3.0-P4.45","","Select by System","TS-1088-AR02016","XUNPU","SMD,4x3mm","-30℃~+80℃ 1.6N 100,000 cycles 12V 2mm 3mm 4mm 50mA Black Round Button SMD(SMT) Tab SPST Surface Mount,Vertical Without Bracket SMD,4x3mm Tactile Switches ROHS","Tactile Switches","","C720477","https://jlcpcb.com/partdetail/XUNPU-TS_1088AR02016/C720477","Basic","12","12 JLCPCB","0.6624"
"U1","","BMP580","LGA-10_L2.0-W2.0-P0.50-TL_BMP580","","Select by System","BMP580","Bosch Sensortec","LGA-10(2x2)","-40℃~+85℃ 0.5pa/K 1.73V~3.6V 30Kpa~1.25bar 5.5uA 6pa 75pa I2C、SPI、I3C LGA-10(2x2) Pressure Sensors ROHS","Pressure Sensors","","C22391138","https://jlcpcb.com/partdetail/BoschSensortec-BMP580/C22391138","Extended","2","2 JLCPCB","2.67"
"U2","","BQ25883RGER","VFQFPN-24_L4.0-W4.0-P0.50-BL-EP2.8","","Select by System","BQ25883RGER","Texas Instruments","VQFN-24-EP(4x4)","-40℃~+85℃ 12uA 2 2.2A 3.9V~6.2V 8.4V Charging IC I2C Lithium Battery Support Support VQFN-24-EP(4x4) Battery Management ROHS","Battery Management","","C544362","https://jlcpcb.com/partdetail/TexasInstruments-BQ25883RGER/C544362","Extended","2","2 JLCPCB","6.4362"
"U3","","ICM-45686","LGA-14_L3.0-W2.5-P0.50-TL","","Select by System","ICM-45686","TDK InvenSense","LGA-14(3x2.5)","LGA-14(3x2.5) Accelerometers ROHS","Accelerometers","","C22459454","https://jlcpcb.com/partdetail/TDKInvenSense-ICM45686/C22459454","Extended","2","2 JLCPCB","25.8608"
"U4","","TPS63070RNMR","VQFN-15_L3.0-W2.5-P0.50-BL","","Select by System","TPS63070RNMR","Texas Instruments","VQFN-15-HR(2.5x3)","-40℃~+125℃@(TJ) 1 2.4MHz 2.5V~9V 2A 2V~16V 50uA Adjustable Buck-Boost Buck-Boost Built-in Yes VQFN-15-HR(2.5x3) DC-DC Converters ROHS","DC-DC Converters","","C109322","https://jlcpcb.com/partdetail/TexasInstruments-TPS63070RNMR/C109322","Extended","2","2 JLCPCB","2.7312"
"U5","","STM32F722RETx","LQFP-64_10x10mm_P0.5mm","","Select by Customer","STM32F722RET6","STMicroelectronics","LQFP-64(10x10)","-40℃~+85℃ 1.7V~3.6V 12bit 12bit 216MHz 256KB 32 Bit 50 512KB ARM Cortex-M7 Built-in FLASH LQFP-64(10x10) Microcontrollers (MCU/MPU/SOC) ROHS","Microcontrollers (MCU/MPU/SOC)","","C118207","https://jlcpcb.com/partdetail/STMicroelectronics-STM32F722RET6/C118207","Extended","2","2 JLCPCB","12.5338"
"U6","","LMR51430","SOT-23-6","","Select by System","LMR51430YFDDCR","Texas Instruments","SOT-23-6-THIN(DDC)","-40℃~+150℃ 1 1.1MHz 3A 4.5V~36V 40uA 600mV~34.2V Adjustable Buck Buck Built-in Yes SOT-23-6-THIN(DDC) DC-DC Converters ROHS","DC-DC Converters","","C5219261","https://jlcpcb.com/partdetail/TexasInstruments-LMR51430YFDDCR/C5219261","Extended","2","2 JLCPCB","1.6672"
"U7","","QMC5883P","LGA-16_L3.0-W3.0-P0.50-BL_SQ","","Select by System","QMC5883P","QST","LGA-16(3x3)","-40℃~+85℃ 16bit 2.5V~3.6V 35uA I2C ±3mT ±3mT LGA-16(3x3) 3D Magnetic Sensors ROHS","3D Magnetic Sensors","","C2847467","https://jlcpcb.com/partdetail/QST-QMC5883P/C2847467","Extended","2","2 JLCPCB","3.0504"
"X1","","X322525MOB4SI","CRYSTAL-SMD_4P-L3.2-W2.5-BL","","Select by System","X322525MOB4SI","YXC Crystal Oscillators","SMD3225-4P","-40℃~+85℃ 12pF 25MHz Crystal Oscillator ±10ppm ±20ppm SMD3225-4P Crystals ROHS","Crystals","","C9006","https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X322525MOB4SI/C9006","Basic","6","6 JLCPCB","0.4452"
"X2","","Q13FC1350000400","FC-135R_L3.2-W1.5","","Select by System","Q13FC13500004","Seiko Epson","SMD3215-2P","-40℃~+85℃ 12.5pF 32.768kHz 70kΩ Crystal Oscillator ±20ppm SMD3215-2P Crystals ROHS","Crystals","","C32346","https://jlcpcb.com/partdetail/SeikoEpson-Q13FC13500004/C32346","Basic","5","5 JLCPCB","0.835"
"J2","","Screw_Terminal_01x02","TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal","","No matches","No Part Selected","","","","","","","","","","",""
"J3,J4,J5","","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical","","No matches","No Part Selected","","","","","","","","","","",""
